rank,gid,role,priority_score,why
1,100000003684369100,coordinator,0.963356,"Признаки координации: доступен от 9 seed, связей между кластерами 9; посредничество 0.0016. Приоритет: достижимость от seed 9.00; наблюдаемый вход 3,848,436.00. Граф неполный."
2,100000003115284100,consolidator,0.953019,"Признаки консолидации: 8 плательщиков, вход 2,160,500 KZT; исходящие 517,000 KZT. Приоритет: достижимость от seed 11.00; наблюдаемый вход 2,160,500.00. Граф неполный."
3,100000008165763100,distributor,0.942192,"Признаки распределения: 17 получателей, 17 переводов, исходящие 1,267,858 KZT. Приоритет: достижимость от seed 9.00; наблюдаемый вход 1,165,815.00. Граф неполный."
4,100000005074393100,consolidator,0.935178,"Признаки консолидации: 4 плательщиков, вход 563,026 KZT; исходящие 685,500 KZT. Приоритет: достижимость от seed 10.00; наблюдаемый вход 563,026.00. Граф неполный."
5,100000007908818100,consolidator,0.925847,"Признаки консолидации: 4 плательщиков, вход 727,475 KZT; исходящие 302,000 KZT. Приоритет: достижимость от seed 11.00; наблюдаемый вход 727,475.00. Граф неполный."
6,100000005382566100,consolidator,0.90672,"Признаки консолидации: 7 плательщиков, вход 393,066 KZT; исходящие 50,000 KZT. Приоритет: достижимость от seed 14.00; наблюдаемый вход 393,066.00. Граф неполный."
7,100000005473151100,consolidator,0.906368,"Признаки консолидации: 3 плательщиков, вход 1,220,000 KZT; исходящие 225,000 KZT. Приоритет: достижимость от seed 9.00; наблюдаемый вход 1,220,000.00. Граф неполный."
8,100000004015047100,consolidator,0.902524,"Признаки консолидации: 9 плательщиков, вход 919,104 KZT; исходящие 69,195 KZT. Приоритет: достижимость от seed 11.00; наблюдаемый вход 919,104.00. Граф неполный."
9,100000008637537100,consolidator,0.89545,"Признаки консолидации: 3 плательщиков, вход 619,890 KZT; исходящие 2,351,495 KZT. Приоритет: достижимость от seed 9.00; наблюдаемый вход 619,890.00. Граф неполный."
10,100000001616816100,consolidator,0.881507,"Признаки консолидации: 5 плательщиков, вход 176,195 KZT; исходящие 181,326 KZT. Приоритет: достижимость от seed 10.00; число связей 5.00. Граф неполный."
11,100000008489922100,coordinator,0.880491,"Признаки координации: доступен от 8 seed, связей между кластерами 5; посредничество 0.0005. Приоритет: достижимость от seed 8.00; наблюдаемый вход 262,010.00. Граф неполный."
12,100000001899164100,consolidator,0.868975,"Признаки консолидации: 4 плательщиков, вход 291,675 KZT; исходящие 76,500 KZT. Приоритет: достижимость от seed 8.00; наблюдаемый вход 291,675.00. Граф неполный."
13,100000003635170100,transit,0.868075,"Признаки транзита: вход 268,500, выход 253,500 KZT; наблюдаемое отношение 0.94. Приоритет: достижимость от seed 8.00; наблюдаемый вход 268,500.00. Граф неполный."
14,100000003390036100,peripheral,0.862814,"Недостаточно признаков роли: входящих связей 2, исходящих 2, глубина 2. Приоритет: достижимость от seed 11.00; наблюдаемый вход 231,300.00. Граф неполный."
15,100000004159526100,consolidator,0.859133,"Признаки консолидации: 4 плательщиков, вход 275,037 KZT; исходящие 68,000 KZT. Приоритет: достижимость от seed 8.00; наблюдаемый вход 275,037.00. Граф неполный."
